species,com_name,family,genus,Crystal,McDermott,Mendota,Sparkling,Trout,Trout_Bog,UMR_13,UMR_19,Wingra
Pomoxis.annularis,White Crappie,Centrarchidae,Pomoxis,0,0,0,0,0,0,5,1,0
Pomoxis.nigromaculatus,Black Crappie,Centrarchidae,Pomoxis,0,2,5,0,3,0,5,0,5
Pungitius.pungitius,Ninespine Stickleback,Gasterosteidae,Pungitius,0,0,0,1,0,0,0,0,0
Pylodictis.olivaris,Flathead Catfish,Ictaluridae,Pylodictis,0,0,0,0,0,0,5,1,0
Salvelinus.namaycush,Lake Trout,Salmonidae,Salvelinus,0,0,0,0,4,0,0,0,0
Sander.canadensis,Sauger,Percidae,Sander,0,0,0,0,0,0,5,1,0
Sander.vitreus,Walleye,Percidae,Sander,0,2,5,5,5,0,5,1,0
Scaphirhynchus.platorynchus,Shovelnose Sturgeon,Acipenseridae,Scaphirhynchus,0,0,0,0,0,0,5,0,0
Semotilus.atromaculatus,Creek Chub,Cyprinidae,Semotilus,0,0,0,0,1,0,2,0,0
Umbra.limi,Central Mud Minnow,Umbridae,Umbra,0,0,0,0,0,5,2,0,2
