com_name,family,genus,sci_name,fish
Yellow Bass,Moronidae,Morone,Morone.mississippiensis,1
Black Redhorse,Catostomidae,Moxostoma,Moxostoma.duquesnii,1
Golden Redhorse,Catostomidae,Moxostoma,Moxostoma.erythrurum,1
Greater Redhorse,Catostomidae,Moxostoma,Moxostoma.valenciennesi,1
River Redhorse,Catostomidae,Moxostoma,Moxostoma.carinatum,1
Shorthead Redhorse,Catostomidae,Moxostoma,Moxostoma.macrolepidotum,1
Silver Redhorse,Catostomidae,Moxostoma,Moxostoma.anisurum,1
Black Carp,Cyprinidae,Mylopharyngodon,Mylopharyngodon.piceus,1
Round Goby,Gobiidae,Neogobius,Neogobius.melanostomus,1
Hornyhead Chub,Cyprinidae,Nocomis,Nocomis.biguttatus,1
River Chub,Cyprinidae,Nocomis,Nocomis.micropogon,1
Golden Shiner,Cyprinidae,Notemigonus,Notemigonus.crysoleucas,1
Bigeye Shiner,Cyprinidae,Notropis,Notropis.boops,1
Blackchin Shiner,Cyprinidae,Notropis,Notropis.heterodon,1
Blacknose Shiner,Cyprinidae,Notropis,Notropis.heterolepis,1
Channel Shiner,Cyprinidae,Notropis,Notropis.wickliffi,1
Emerald Shiner,Cyprinidae,Notropis,Notropis.atherinoides,1
Ghost Shiner,Cyprinidae,Notropis,Notropis.buchanani,1
Mimic Shiner,Cyprinidae,Notropis,Notropis.volucellus,1
Ozark Minnow,Cyprinidae,Notropis,Notropis.nubilus,1
River Shiner,Cyprinidae,Notropis,Notropis.blennius,1
Rosyface Shiner,Cyprinidae,Notropis,Notropis.rubellus,1
Sand Shiner,Cyprinidae,Notropis,Notropis.stramineus,1
Silverband Shiner,Cyprinidae,Notropis,Notropis.shumardi,1
Silverjaw Minnow,Cyprinidae,Notropis,Notropis.buccata,1
Spottail Shiner,Cyprinidae,Notropis,Notropis.hudsonius,1
Wedgespot Shiner,Cyprinidae,Notropis,Notropis.greenei,1
Weed Shiner,Cyprinidae,Notropis,Notropis.texanus,1
Freckled Madtom,Cyprinidae,Noturus,Noturus.nocturnus,1
Stonecat,Cyprinidae,Noturus,Noturus.flavus,1
Tadpole Madtom,Cyprinidae,Noturus,Noturus.gyrinus,1
Pugnose Minnow,Cyprinidae,Opsopoeodus,Opsopoeodus.emiliae,1
Rainbow Smelt,Osmeridae,Osmerus,Osmerus.mordax,1
Yellow Perch,Percidae,Perca,Perca.flavescens,1
Blackside Darter,Percidae,Percina,Percina.maculata,1
Dusky Darter,Percidae,Percina,Percina.sciera,1
Logperch,Percidae,Percina,Percina.caprodes,1
River Darter,Percidae,Percina,Percina.shumardi,1
Slenderhead Darter,Percidae,Percina,Percina.phoxocephala,1
Common Logperch,Percidae,Percina,Percina.caprodes,1
Trout-Perch,Percopsidae,Percopsis,Percopsis.omiscomaycus,1
Suckermouth Minnow,Cyprinidae,Phenacobius,Phenacobius.mirabilis,1
Bluntnose Minnow,Cyprinidae,Pimephales,Pimephales.notatus,1
Bullhead Minnow,Cyprinidae,Pimephales,Pimephales.vigilax,1
Fathead Minnow,Cyprinidae,Pimephales,Pimephales.promelas,1
