species,com_name,family,genus,Crystal,McDermott,Mendota,Sparkling,Trout,Trout_Bog,UMR_13,UMR_19,Wingra
Ambloplites.rupestris,Rock Bass,Centrarchidae,Ambloplites,0,6,3,6,2,0,0,0,0
unk,Ameiurus,Ictaluridae,Ameiurus,0,2,4,0,0,0,0,0,0
Amia.calva,Bowfin,Amiidae,Amia,0,0,0,0,0,0,0,2,0
Aplodinotus.grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,0,0,13,0,0,0,40,28,0
unk,Asain carp,Cyprinidae,unk,4,3,2,7,0,2,0,7,0
Carassius.auratus,Goldfish,Cyprinidae,Carassius,0,0,0,0,0,0,0,1,0
unk,suckers,Catostomidae,unk,0,0,2,0,9,0,36,37,0
Catostomus.commersonii,White Sucker,Catostomidae,Catostomus,0,0,3,0,2,0,3,0,0
unk,Coregonus,Salmonidae,Coregonus,0,0,0,0,11,0,0,0,0
Cottus.bairdii,Mottled Sculpin,Cottidae,Cottus,0,0,0,0,4,0,0,0,0
Cyprinella.spiloptera,Spotfin Shiner,Cyprinidae,Cyprinella,0,0,0,0,0,0,3,3,0
unk,Cyprinid Hybrid,Cyprinidae,unk,0,6,0,4,17,0,34,24,5
Cyprinus.carpio,Common Carp,Cyprinidae,Cyprinus,0,0,18,0,2,0,21,23,10
Dorosoma.cepedianum,American Gizzard Shad,Clupeidae,Dorosoma,0,0,0,0,0,0,3,23,2
Esox.lucius,Northern Pike,Esocidae,Esox,0,0,3,0,0,0,0,0,0
Esox.masquinongy,Muskellunge,Esocidae,Esox,0,0,0,1,0,0,0,0,0
Etheostoma.exile,Iowa Darter,Percidae,Etheostoma,0,6,4,5,6,0,0,0,0
Etheostoma.flabellare,Fantail Darter,Percidae,Etheostoma,0,0,0,0,13,0,0,0,0
Etheostoma.nigrum,Johnny Darter,Percidae,Etheostoma,0,0,0,0,7,0,9,0,0
Fundulus.diaphanus,Banded Killifish,Fundulidae,Fundulus,0,0,0,0,3,0,0,0,0
unk,Hiodon,Hiodontidae,Hiodon,0,0,0,0,0,0,8,2,0
Hypophthalmichthys.molitrix,Silver Carp,Cyprinidae,Hypophthalmichthys,0,0,0,0,0,0,0,7,0
unk,bullhead catfishes,Ictaluridae,Ictaluridae,12,0,0,0,0,0,0,0,0
unk,Ictalurus,Ictaluridae,Ictalurus,0,0,7,0,0,0,24,20,0
Ictalurus.punctatus,Channel Catfish,Ictaluridae,Ictalurus,0,0,0,0,0,0,0,2,0
unk,Lepisosteus,Lepisosteidae,Lepisosteus,0,0,0,0,0,0,6,17,0
unk,"Bluegill, Orange Spotted Sunfish Hybrid",Centrarchidae,Lepomis,0,10,0,0,0,0,0,0,7
Lepomis.macrochirus,Bluegill,Centrarchidae,Lepomis,5,22,25,8,8,0,2,16,24
Micropterus.dolomieu,Smallmouth Bass,Centrarchidae,Micropterus,0,0,4,7,14,0,0,0,0
Micropterus.salmoides,Largemouth Bass,Centrarchidae,Micropterus,0,11,3,3,4,0,2,0,14
Morone.chrysops,White Bass,Moronidae,Morone,0,0,0,0,0,0,5,7,0
unk,Moxostoma,Catostomidae,Moxostoma,0,0,0,0,0,0,12,5,0
Notemigonus.crysoleucas,Golden Shiner,Cyprinidae,Notemigonus,0,4,4,0,0,0,0,0,11
unk,"Spottail Shiner, Emerald Shiner Hybrid",Cyprinidae,Notropis,0,0,0,0,0,0,5,0,0
Perca.flavescens,Yellow Perch,Percidae,Perca,20,10,14,0,25,0,0,0,7
unk,Percina,Percidae,Percina,0,0,0,0,0,0,2,0,0
Percina.caprodes,Logperch,Percidae,Percina,0,0,0,0,8,0,0,0,0
Percopsis.omiscomaycus,Trout-Perch,Percopsidae,Percopsis,0,0,0,0,2,0,0,0,0
Pimephales.promelas,Fathead Minnow,Cyprinidae,Pimephales,9,2,0,0,1,0,0,0,0
Pomoxis.nigromaculatus,Black Crappie,Centrarchidae,Pomoxis,0,6,4,0,2,0,0,0,10
Pylodictis.olivaris,Flathead Catfish,Ictaluridae,Pylodictis,0,0,0,0,0,0,6,6,0
Sander.vitreus,Walleye,Percidae,Sander,0,4,3,0,2,0,4,2,0
Scaphirhynchus.platorynchus,Shovelnose Sturgeon,Acipenseridae,Scaphirhynchus,0,0,0,0,0,0,2,3,0
Umbra.limi,Central Mud Minnow,Umbridae,Umbra,0,4,0,0,2,10,0,0,0
